business_name,domain,website,city,state,status,contact_email,peptides_confirmed,source
Henderson Med Spa,hendersonmedspa.com,https://www.hendersonmedspa.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
Atlas Health Institute,atlashealthinstitute.com,https://www.atlashealthinstitute.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
Absolute Hormone Health Clinic,absolutehormone.com,https://absolutehormone.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
Las Vegas Peptide Clinic,lasvegaspeptideclinic.com,https://www.lasvegaspeptideclinic.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
TRTMD Health Clinic,trtmd.com,https://trtmd.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
The Aesthetics Lab,theaestheticslabmedspa.com,https://theaestheticslabmedspa.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
Sundrata Clinic,sundrataclinic.com,https://sundrataclinic.com/,Las Vegas,NV,already_in_queue,,,claude_web_search_2026-09-18
Regenerate Medical Concierge,regeneratemedicalconcierge.com,https://regeneratemedicalconcierge.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
IUVENTUS Medical Center,iuventusmedcenter.com,https://iuventusmedcenter.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
Dr. K Beauty LV,drkbeautylv.com,https://drkbeautylv.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
Encompass Care,encompasscarelv.com,https://encompasscarelv.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
More Than Medical Wellness,morethanmedicalwellness.com,https://morethanmedicalwellness.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
VidaVital Medical,vidavitalmedical.com,https://www.vidavitalmedical.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
Transformative Health,transformativehealth.us,https://transformativehealth.us/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
Reign Beauty and Vitality,reignbeautyvitality.com,https://reignbeautyvitality.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
MDspa Las Vegas,mdspalv.com,https://www.mdspalv.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
Parker Medical,parkermedical.org,https://parkermedical.org/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
Halcyon Health,halcyonoptimized.com,https://www.halcyonoptimized.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
Ageless Women's Health,agelesswomenshealth.com,https://www.agelesswomenshealth.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
LVC Medical,lvcmed.com,https://lvcmed.com/,Las Vegas,NV,already_in_queue,,,claude_web_search_2026-09-18
Las Vegas Plastic Surgery,jjrothmd.com,https://www.jjrothmd.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
Elevate Wellness,elevatewellnesslv.com,https://www.elevatewellnesslv.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
Xena Health,xenahealthlv.com,https://xenahealthlv.com/,Las Vegas,NV,already_in_queue,,,claude_web_search_2026-09-18
Naked MD,nakedmd.com,https://www.nakedmd.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
White Coat Aesthetics,whitecoataesthetics.com,https://whitecoataesthetics.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
LuxeFactor Aesthetics,luxefactorlv.com,https://www.luxefactorlv.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
NuCanvas Aesthetics and Wellness,mynucanvas.com,https://mynucanvas.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
Henderson Internal Medicine Med Spa,hendersoninternalmedicine.com,https://hendersoninternalmedicine.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
Dynamic Stem Cell Therapy,stemcellpowernow.com,https://stemcellpowernow.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
évolué Med Spa,evoluespa.com,https://evoluespa.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
The Med Spa Las Vegas,themedspalasvegas.com,https://themedspalasvegas.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
Chic la Vie Med Spa,chiclavie.com,https://chiclavie.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
Gameday Men's Health,gamedaymenshealth.com,https://gamedaymenshealth.com/,Las Vegas,NV,already_in_queue,,,claude_web_search_2026-09-18
Talon Wellness,talonwellness.com,https://www.talonwellness.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
LV Surgery Associates,lvsurgical.com,https://lvsurgical.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
Mobile IV Therapy Las Vegas,mobileivtherapylasvegas.com,https://mobileivtherapylasvegas.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
Reset IV,resetiv.com,https://resetiv.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
Advanced TRT Clinic,advancedtrtclinic.com,https://advancedtrtclinic.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
Ageless Men's Health,agelessmenshealth.com,https://www.agelessmenshealth.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
AlphaGenics,alphagenicshealth.com,https://alphagenicshealth.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
Boca Med Spa,bocamedspalv.com,https://bocamedspalv.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
RejuvLV Wellness & Aesthetics,rejuvlv.com,https://rejuvlv.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
Estetica Wellness,esteticawellness.com,https://www.esteticawellness.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
WoW Health & Beauty Medical Spa,lasvegashealthandbeautyspa.com,https://lasvegashealthandbeautyspa.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
Las Vegas Medical Institute,lasvegasmedicalinstitute.com,https://lasvegasmedicalinstitute.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
Degree Wellness,degreewellness.com,https://degreewellness.com/,Las Vegas,NV,new_candidate,,,claude_web_search_2026-09-18
